person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
4764.0,3,14.0,,",17.5",17.5,5.34,1
4764.0,2,17.0,,17.5,17.5,5.34,1
4764.0,1,21.0,21.0,",25.25,25.5,26.0",,13.149999999999999,0
4764.0,0,24.0,28.75,",25.25,25.5,26.0,26.75,29.75",,17.57,0
3359.0,1,0.0,0.5,",3.0",3.0,23.66,1
3359.0,0,7.0,7.0,",10.5",10.5,15.85,1
3359.0,9,21.0,22.0,",25.75",,14.44,0
3359.0,9,24.0,,",25.75",25.75,14.44,1
3361.0,5,0.0,0.75,",1.0",1.0,15.42,1
3361.0,5,17.0,17.0,",17.25",17.25,10.15,1
3361.0,3,14.0,14.25,",15.25",15.25,17.04,1
3361.0,1,21.0,21.0,",21.5",21.5,14.46,1
3361.0,1,24.0,24.25,",24.25",24.25,20.47,1
3362.0,5,0.0,0.0,,,0.0,0
3362.0,5,24.0,24.75,",24.25",24.25,40.19,1
3362.0,3,7.0,,,,0.0,0
3362.0,2,14.0,,17.0,17.0,19.99,1
3362.0,4,21.0,,",24.25",24.25,40.19,1
3364.0,0,0.0,1.5,",4.25",,1.97,0
3364.0,0,17.0,18.5,",18.75,22.25",,11.11,0
3364.0,5,14.0,15.75,",18.75",18.75,7.59,1
3364.0,2,21.0,21.75,22.25,22.25,3.52,1
3364.0,1,24.0,24.5,",28.75",,0.36,0
3956.0,2,0.0,,-1,,0.0,0
3956.0,2,24.0,,24.75,24.75,8.48,1
3956.0,5,7.0,11.75,",8.75,10.5,11.5",11.5,14.0,1
3956.0,9,21.0,22.75,",23.25",23.25,15.9,1
1802.0,0,0.0,3.0,",3.25,5.25",,7.890000000000001,0
1802.0,7,21.0,,22.0,22.0,10.25,1
1802.0,5,24.0,25.0,",25.5,26.0,27.25",27.25,8.86,1
3368.0,5,0.0,3.75,",4.75",4.75,31.02,1
3368.0,5,17.0,18.5,",20.5",20.5,28.47,1
3368.0,7,14.0,14.0,15.5,15.5,29.23,1
3369.0,5,0.0,0.0,",0.25,1.0",1.0,7.09,1
3369.0,1,7.0,7.75,",8.25,8.5,10.25",,7.540000000000001,0
3369.0,9,17.0,18.5,",18.75,23.0,23.25,23.75",23.75,10.04,1
3369.0,6,24.0,25.25,",25.5",25.5,11.77,1
3318.0,9,0.0,,",3.75",,1.78,0
3318.0,9,7.0,,,,0.0,0
3318.0,9,14.0,,",17.0,20.5",20.5,13.48,1
3318.0,9,24.0,,",25.5,27.5",,1.91,0
3318.0,4,21.0,,",25.5,27.5",,1.91,0
3371.0,4,0.0,5.0,",4.25,8.0",8.0,28.1,1
3371.0,9,7.0,7.25,",8.0",8.0,14.6,1
3371.0,5,14.0,14.25,",17.5",17.5,21.43,1
3371.0,2,17.0,17.0,17.5,17.5,21.43,1
3371.0,6,21.0,21.5,",22.0",22.0,32.49,1
3371.0,0,24.0,24.25,",25.75",25.75,17.36,1
3373.0,5,0.0,1.75,",2.0",2.0,31.54,1
3373.0,9,7.0,,",9.5",9.5,12.95,1
3373.0,3,14.0,,,,0.0,0
3373.0,0,17.0,,",22.0",22.0,18.02,1
3373.0,8,21.0,23.0,",22.0",22.0,18.02,1
3377.0,1,0.0,2.75,",1.25,2.75,4.75",,12.58,0
3377.0,1,24.0,,",24.25,25.5",,1.9000000000000001,0
3377.0,6,7.0,8.5,",8.0,9.75,15.5",,4.16,0
3377.0,3,21.0,22.75,",24.25,25.5",,1.9000000000000001,0
3378.0,9,0.0,,,,0.0,0
3378.0,3,14.0,,,,0.0,0
3378.0,1,17.0,19.75,,,0.0,0
3378.0,6,24.0,26.0,",28.0",,0.89,0
3382.0,0,0.0,0.5,",0.5,1.5,2.5,5.0,5.75,6.0",,18.36,0
3382.0,0,21.0,21.5,",22.25,22.75,23.0,24.0,25.75,27.5,27.75",27.75,139.55,1
3382.0,7,17.0,17.0,17.75,17.75,6.43,1
3126.0,3,0.0,,",6.0",6.0,24.03,1
3126.0,3,17.0,,",18.75",18.75,19.93,1
3126.0,3,24.0,,",25.0",25.0,23.87,1
3126.0,6,7.0,10.75,",14.25",14.25,28.42,1
3126.0,8,21.0,21.0,",25.0",25.0,23.87,1
3385.0,9,0.0,,",0.0,4.25",4.25,10.350000000000001,1
3385.0,9,24.0,,",27.5,28.0",28.0,12.2,1
3385.0,2,7.0,,-1,,0.0,0
3385.0,0,14.0,,",18.0",,4.16,0
3385.0,1,17.0,19.75,",18.0",,4.16,0
3385.0,4,21.0,,",22.25,23.5,27.5,28.0",28.0,22.79,1
3389.0,9,0.0,4.75,",0.0,5.75,6.25",,4.51,0
3389.0,8,7.0,9.75,",10.25,10.75",,2.92,0
3389.0,6,14.0,14.25,",14.25,14.75,15.0,15.75",15.75,10.450000000000001,1
3389.0,6,21.0,22.25,",22.75,23.0,23.5,23.75,25.0",25.0,11.17,1
3389.0,0,24.0,24.25,",25.0,26.75",26.75,14.0,1
3468.0,9,0.0,,,,0.0,0
3468.0,3,14.0,,",21.0",21.0,32.78,1
3468.0,6,21.0,21.0,",21.0",21.0,32.78,1
3468.0,6,24.0,24.0,",24.25",24.25,18.65,1
3391.0,6,0.0,0.0,",0.25,3.5,3.75,4.0,4.75,7.75",,7.32,0
3391.0,6,14.0,14.5,",16.0,16.25,16.5,19.25",19.25,12.869999999999997,1
3391.0,9,7.0,7.25,",7.75,12.5,13.5",,4.47,0
3391.0,9,21.0,,",21.25,22.5,23.25",23.25,11.05,1
3391.0,0,24.0,24.5,",24.75,25.0,25.75,26.5,28.5",,15.120000000000001,0
3392.0,7,0.0,0.0,3.0,3.0,39.66,1
3392.0,3,14.0,15.75,",15.75",15.75,24.72,1
3392.0,3,17.0,17.0,",18.75",18.75,37.29,1
3392.0,5,21.0,22.75,",23.0",23.0,43.58,1
5478.0,7,0.0,1.5,1.75,1.75,5.87,1
5478.0,4,7.0,,",7.5",,9.7,0
5478.0,0,17.0,,",17.75,22.0,23.0",,11.030000000000001,0
5478.0,3,21.0,22.0,",22.0,23.0,24.25,25.5,27.25,28.0",,9.1,0
5478.0,8,24.0,25.0,",24.25,25.5,27.25,28.0",,5.01,0
12301.0,0,0.0,1.25,",2.25,5.0",,1.98,0
12301.0,2,7.0,8.75,8.75,8.75,3.02,1
12301.0,6,14.0,15.25,",15.0,15.25,16.5",16.5,10.13,1
12301.0,6,24.0,24.0,",25.75,26.5,26.75",26.75,100.74,1
12301.0,5,17.0,19.25,",17.25,20.0,21.0,23.0",23.0,10.17,1
3397.0,3,0.0,,,,0.0,0
3397.0,0,7.0,10.5,",13.0",,4.17,0
3397.0,5,17.0,17.25,",19.75,20.25",,4.63,0
3397.0,2,21.0,,-1,,0.0,0
3397.0,9,24.0,28.5,",29.5",,2.46,0
3398.0,3,0.0,,",0.0",0.0,12.09,1
3398.0,5,14.0,14.0,",14.5",14.5,9.2,1
3398.0,0,21.0,21.75,",22.0",22.0,17.33,1
3398.0,9,24.0,,",26.25",26.25,19.89,1
3898.0,0,0.0,0.0,",0.5",0.5,36.14,1
3898.0,0,14.0,14.25,",15.75",15.75,16.56,1
3898.0,0,24.0,24.0,",24.0",24.0,18.83,1
3898.0,1,7.0,7.5,",7.75",7.75,18.84,1
3898.0,8,21.0,21.0,",21.0",21.0,16.22,1
3400.0,3,0.0,,,,0.0,0
3400.0,5,14.0,14.75,",19.0",19.0,18.17,1
3400.0,4,21.0,,",25.25",25.25,33.94,1
3400.0,7,24.0,25.25,25.25,25.25,33.94,1
10907.0,1,0.0,0.0,",0.0",0.0,21.71,1
10907.0,6,14.0,14.0,",14.25",14.25,30.33,1
3403.0,2,0.0,1.0,-1,,0.0,0
3403.0,3,7.0,7.5,,,0.0,0
3403.0,6,14.0,14.25,,,0.0,0
3403.0,8,24.0,25.25,,,0.0,0
3404.0,8,0.0,1.0,,,0.0,0
3404.0,9,7.0,7.25,",8.75",,9.93,0
3404.0,1,14.0,,,,0.0,0
3404.0,1,21.0,22.0,,,0.0,0
3404.0,5,17.0,20.5,",20.0",20.0,33.83,1
3405.0,2,0.0,,-1,,0.0,0
3405.0,0,7.0,7.0,",10.0",,1.58,0
3405.0,8,17.0,18.5,,,0.0,0
3405.0,3,21.0,,",23.25",,2.2800000000000002,0
3405.0,6,24.0,27.0,",28.5",,0.67,0
3406.0,4,0.0,,,,0.0,0
3406.0,1,7.0,7.25,,,0.0,0
3406.0,7,14.0,16.25,15.5,15.5,1.4100000000000001,1
3406.0,7,17.0,17.25,-1,,0.0,0
3406.0,2,21.0,,-1,,0.0,0
3406.0,9,24.0,,,,0.0,0
3408.0,0,0.0,13.25,,,0.0,0
3408.0,0,24.0,24.0,",29.75",29.75,15.01,1
3408.0,6,17.0,17.0,,,0.0,0
3408.0,3,21.0,,,,0.0,0
3409.0,1,0.0,3.25,,,0.0,0
3409.0,7,21.0,21.0,23.5,23.5,11.58,1
3409.0,2,24.0,,-1,,0.0,0
3411.0,7,0.0,6.5,2.25,2.25,20.72,1
3411.0,2,7.0,,-1,,0.0,0
3411.0,0,17.0,20.0,,,0.0,0
3411.0,9,24.0,25.25,",28.5",28.5,35.24,1
3412.0,6,0.0,0.5,,,0.0,0
3412.0,9,7.0,12.0,,,0.0,0
3412.0,0,14.0,,",20.75",20.75,21.12,1
3412.0,8,21.0,,,,0.0,0
3412.0,7,24.0,26.5,-1,,0.0,0
3413.0,7,0.0,0.75,-1,,0.0,0
3413.0,1,7.0,10.25,",7.25",7.25,39.74,1
3413.0,1,14.0,15.5,",15.0",15.0,24.55,1
3416.0,0,0.0,0.25,",3.75",3.75,27.96,1
3416.0,2,7.0,7.75,8.25,8.25,12.16,1
3416.0,4,14.0,15.25,",23.5",23.5,24.08,1
3416.0,1,17.0,17.25,,,0.0,0
3416.0,7,21.0,21.25,23.5,23.5,24.08,1
3417.0,6,0.0,1.75,",2.75,7.25,8.75",,9.7,0
3417.0,0,17.0,18.5,",21.75",,3.06,0
3417.0,3,24.0,,,,0.0,0
4715.0,6,0.0,0.0,",0.25,3.25,4.0,6.5",,9.29,0
4715.0,9,7.0,8.75,",10.75",,2.17,0
4715.0,9,14.0,,",19.75",,2.43,0
4715.0,1,21.0,21.0,",21.25",21.25,11.77,1
4715.0,8,24.0,25.75,",27.5",27.5,11.74,1
3419.0,5,0.0,0.75,",2.5",2.5,26.26,1
3419.0,6,7.0,9.0,",9.0",9.0,14.73,1
3419.0,7,14.0,16.25,14.0,14.0,28.45,1
3419.0,7,21.0,21.75,22.75,22.75,12.89,1
3419.0,0,17.0,17.25,",17.5",17.5,24.13,1
3419.0,4,24.0,24.25,",25.75,28.0",28.0,42.96,1
7175.0,9,0.0,0.0,,,0.0,0
7175.0,7,7.0,12.75,-1,,0.0,0
7175.0,7,17.0,20.5,-1,,0.0,0
7175.0,8,14.0,14.5,,,0.0,0
7175.0,6,21.0,21.75,,,0.0,0
7175.0,1,24.0,24.5,,,0.0,0
3424.0,5,0.0,2.5,",1.25",1.25,26.69,1
3424.0,9,7.0,11.0,",12.25",12.25,31.24,1
3424.0,0,17.0,18.0,,,0.0,0
3424.0,3,24.0,,,,0.0,0
3425.0,1,0.0,0.75,",1.75,2.25,4.75",,17.14,0
3425.0,7,7.0,8.75,9.25,9.25,0.45,1
3425.0,2,14.0,,17.75,17.75,7.14,1
3425.0,6,17.0,17.5,",17.75,18.25,18.75",18.75,11.59,1
3425.0,0,21.0,21.25,",21.25,21.75,26.75,27.0,27.25,27.75,28.0",,15.53,0
3425.0,9,24.0,24.75,",26.75,27.0,27.25,27.75",27.75,10.11,1
3428.0,4,0.0,,",1.5,3.75",3.75,43.43,1
3428.0,7,14.0,,-1,,0.0,0
3428.0,1,17.0,18.25,,,0.0,0
3428.0,3,24.0,,",29.0",29.0,25.77,1
3384.0,1,0.0,0.0,",0.5",0.5,25.48,1
3384.0,6,7.0,8.0,",7.75",7.75,21.89,1
3384.0,6,21.0,21.75,",21.5",21.5,24.16,1
3384.0,7,14.0,14.25,-1,,0.0,0
3384.0,2,17.0,17.5,20.0,20.0,15.71,1
3434.0,4,0.0,,",3.25,5.0",5.0,44.83,1
3434.0,6,7.0,7.25,",9.25",9.25,29.99,1
3434.0,1,14.0,,,,0.0,0
3434.0,0,17.0,,,,0.0,0
3435.0,0,0.0,1.0,,,0.0,0
3435.0,6,17.0,17.25,,,0.0,0
3435.0,2,21.0,21.0,-1,,0.0,0
3435.0,5,24.0,24.0,,,0.0,0
3439.0,9,0.0,,",1.0",,1.03,0
3439.0,2,14.0,,17.5,17.5,2.62,1
3439.0,7,17.0,17.25,17.5,17.5,2.62,1
3439.0,0,21.0,23.0,",23.25,25.0,25.25,26.0,27.75",,23.27,0
3439.0,6,24.0,24.75,",25.0,25.25,26.0",26.0,11.65,1
3440.0,5,0.0,1.75,",6.75",6.75,19.37,1
3440.0,1,14.0,14.25,",14.25",14.25,25.81,1
3440.0,0,21.0,,",22.25",22.25,16.25,1
3440.0,2,24.0,24.0,24.0,24.0,22.17,1
3443.0,7,0.0,0.75,1.5,1.5,16.63,1
3443.0,5,7.0,7.5,",7.5",7.5,9.89,1
3443.0,5,17.0,17.5,",18.25",18.25,19.64,1
3443.0,9,21.0,,",21.0",21.0,12.63,1
3443.0,3,24.0,24.0,",24.5",24.5,5.06,1
2015.0,0,0.0,0.5,",2.0,3.0,4.75",,7.29,0
2015.0,2,7.0,,-1,,0.0,0
2015.0,5,14.0,14.0,",16.25",,2.17,0
2015.0,5,24.0,25.75,",28.5,29.0",29.0,7.46,1
2015.0,1,17.0,18.0,,,0.0,0
2015.0,8,21.0,,,,0.0,0
3448.0,2,0.0,0.75,-1,,0.0,0
3448.0,7,14.0,15.0,14.25,14.25,14.14,1
3448.0,5,17.0,19.25,,,0.0,0
3448.0,1,21.0,21.25,,,0.0,0
3448.0,3,24.0,24.5,,,0.0,0
3450.0,8,0.0,0.25,",1.0",1.0,25.04,1
3450.0,7,7.0,8.0,8.5,8.5,16.82,1
3450.0,7,14.0,15.0,15.25,15.25,19.82,1
3450.0,6,21.0,21.5,",22.0",22.0,17.78,1
3450.0,2,24.0,24.25,25.5,25.5,11.89,1
3451.0,5,0.0,0.0,",0.25",0.25,16.75,1
3451.0,0,7.0,7.25,",10.0",10.0,15.86,1
3451.0,8,17.0,17.75,,,0.0,0
3451.0,4,24.0,28.25,",28.5",,13.79,0
3452.0,9,0.0,,",4.0",4.0,18.46,1
3452.0,8,7.0,7.75,",7.75",7.75,24.15,1
3452.0,2,14.0,14.25,14.75,14.75,12.22,1
3452.0,6,17.0,17.25,",18.75",18.75,11.38,1
3452.0,3,24.0,,",25.5",25.5,24.62,1
3454.0,6,0.0,0.5,",0.25,0.75",0.75,12.67,1
3454.0,7,7.0,7.5,7.0,7.0,15.67,1
3454.0,4,14.0,,",14.25,16.75,21.75",,16.720000000000002,0
3882.0,0,0.0,0.5,,,0.0,0
3882.0,4,7.0,,,,0.0,0
3882.0,4,14.0,,",19.5",19.5,27.2,1
3882.0,1,17.0,17.25,",19.5",19.5,27.2,1
3882.0,9,21.0,,,,0.0,0
3882.0,5,24.0,24.5,,,0.0,0
3456.0,6,0.0,0.25,",8.75",,3.62,0
3456.0,0,7.0,7.75,",8.75,11.0",,5.98,0
3456.0,0,14.0,18.75,",19.25",,1.83,0
3456.0,0,21.0,24.75,",21.5,24.0",,5.48,0
3457.0,4,0.0,1.0,",3.5,5.75",5.75,22.43,1
3457.0,4,17.0,17.5,",17.5,19.75",19.75,43.08,1
3457.0,0,7.0,8.25,",7.5",7.5,14.25,1
3457.0,8,24.0,24.25,",25.75",25.75,16.86,1
3462.0,3,0.0,0.25,,,0.0,0
3462.0,4,7.0,9.0,",11.5",11.5,27.74,1
3462.0,7,21.0,21.75,-1,,0.0,0
3462.0,0,24.0,27.0,",26.25",26.25,16.11,1
3465.0,9,0.0,0.0,",0.5",0.5,26.75,1
3465.0,4,14.0,16.25,",16.25",16.25,26.65,1
3465.0,3,21.0,21.75,",22.75",22.75,12.54,1
3467.0,8,0.0,0.75,",4.5",4.5,11.84,1
3467.0,0,7.0,8.5,",8.75",8.75,30.7,1
3467.0,5,17.0,17.0,",18.25",18.25,32.56,1
3467.0,6,21.0,21.0,",24.75",24.75,13.65,1
11433.0,1,0.0,0.0,",2.25",2.25,29.69,1
11433.0,4,7.0,8.25,",8.25",8.25,23.25,1
11433.0,6,14.0,14.0,",17.25",17.25,19.54,1
11433.0,5,17.0,17.25,",17.25",17.25,19.54,1
11433.0,5,21.0,21.25,",24.75",24.75,16.81,1
3469.0,5,0.0,1.0,",3.5",3.5,14.89,1
3469.0,0,14.0,15.25,",15.25",15.25,10.83,1
3469.0,9,17.0,,",17.25",17.25,15.14,1
3469.0,9,21.0,21.25,",21.0",21.0,20.45,1
3469.0,2,24.0,24.25,27.5,27.5,7.67,1
3470.0,7,0.0,0.5,0.5,0.5,7.41,1
3470.0,2,7.0,7.0,7.0,7.0,12.32,1
3470.0,9,21.0,,",22.0,24.75,25.0",,14.750000000000002,0
3470.0,9,24.0,,",24.75,25.0",25.0,9.71,1
3471.0,5,0.0,0.25,",1.0,2.5,3.75",3.75,12.280000000000001,1
3471.0,3,7.0,,,,0.0,0
3471.0,3,21.0,,",23.25,27.5",27.5,15.11,1
3471.0,7,14.0,14.0,14.25,14.25,3.25,1
3471.0,9,24.0,25.75,",27.5",27.5,10.14,1
3472.0,1,0.0,3.25,",2.0,3.25,4.75",,4.0,0
3472.0,1,7.0,8.0,",7.5,8.5,9.0,9.75,11.0,11.25,11.75",,16.549999999999997,0
3472.0,2,14.0,,17.5,17.5,0.05,1
3472.0,9,17.0,,",17.5,19.25,24.0",,10.1,0
3472.0,9,21.0,,",24.0",24.0,4.05,1
3472.0,5,24.0,24.0,",24.0,24.5",24.5,8.25,1
3473.0,0,0.0,2.5,,,0.0,0
3473.0,0,21.0,21.25,,,0.0,0
3473.0,3,7.0,8.0,",10.25",10.25,10.84,1
3474.0,1,0.0,5.5,,,0.0,0
3474.0,5,14.0,16.25,,,0.0,0
3474.0,5,17.0,18.75,,,0.0,0
3474.0,4,21.0,,",28.75",,11.7,0
3476.0,2,0.0,3.75,2.5,2.5,15.49,1
3476.0,7,7.0,9.0,7.75,7.75,7.88,1
3476.0,1,24.0,28.75,,,0.0,0
3477.0,9,0.0,3.75,",4.5,6.25",6.25,10.030000000000001,1
3477.0,1,7.0,8.25,",11.5",,9.15,0
3477.0,1,17.0,19.0,",19.75,20.0",,16.82,0
3477.0,8,14.0,15.75,",16.75",16.75,6.31,1
3477.0,6,24.0,29.75,",26.5",26.5,10.01,1
3478.0,9,0.0,6.5,",7.0",,3.56,0
3478.0,9,7.0,,",7.0,8.75,13.0",,4.37,0
3478.0,1,21.0,,,,0.0,0
3478.0,6,24.0,26.0,,,0.0,0
3479.0,9,0.0,,",2.75",2.75,14.21,1
3479.0,7,7.0,7.5,7.75,7.75,12.47,1
3479.0,4,14.0,,",18.0,18.25",18.25,27.29,1
3479.0,4,21.0,,",22.5,24.0",24.0,565.82,1
3479.0,6,17.0,17.5,",18.0",18.0,17.59,1
3480.0,6,0.0,1.5,",1.0,1.25",1.25,40.97,1
3480.0,9,7.0,,",10.0",10.0,12.55,1
3480.0,2,14.0,,16.25,16.25,10.25,1
3480.0,3,17.0,18.25,",17.5",17.5,16.3,1
3447.0,4,0.0,3.75,",4.5,7.25,9.75",,8.89,0
3447.0,4,7.0,,",7.25,9.75,11.0",,9.13,0
3447.0,4,14.0,,",19.5,20.25,20.75,22.0",22.0,20.3,1
3447.0,6,21.0,21.0,",22.0,27.0",,5.2,0
2628.0,5,0.0,1.0,",1.25,1.75,3.0",3.0,8.07,1
2628.0,9,7.0,,,,0.0,0
2628.0,6,14.0,15.0,",15.5,15.75,16.0,16.25",16.25,22.13,1
2628.0,7,17.0,17.5,17.25,17.25,2.94,1
2628.0,3,21.0,,",22.25,27.0",,6.21,0
2628.0,0,24.0,26.75,",27.0,28.25",,10.69,0
3484.0,7,0.0,0.5,-1,,0.0,0
3484.0,7,21.0,22.0,22.75,22.75,13.42,1
3484.0,0,7.0,9.5,",13.75",13.75,18.75,1
3484.0,5,17.0,20.0,",22.75",22.75,13.42,1
3484.0,2,24.0,,25.75,25.75,22.69,1
3485.0,8,0.0,0.75,",0.75,1.0,1.25,2.25",2.25,9.92,1
3485.0,2,7.0,14.25,7.75,7.75,3.11,1
3485.0,1,17.0,17.0,",17.5,17.75,18.25,20.25,21.75",,13.07,0
3485.0,9,21.0,22.0,",21.75,22.75,24.0,26.5",26.5,15.08,1
3486.0,9,0.0,,",2.0,4.25",,2.98,0
3486.0,2,7.0,8.0,8.25,8.25,13.26,1
3486.0,1,14.0,14.25,",16.75,17.75",,2.66,0
3486.0,3,17.0,22.5,",17.75,22.5",22.5,7.51,1
3486.0,5,24.0,25.0,",25.0,26.25,28.5",28.5,10.92,1
3487.0,8,0.0,4.5,,,0.0,0
3487.0,5,7.0,7.5,,,0.0,0
3487.0,2,14.0,15.5,17.5,17.5,0.88,1
3487.0,3,17.0,,",17.5",,0.88,0
3488.0,8,0.0,1.0,,,0.0,0
3488.0,8,24.0,25.25,",26.25",26.25,6.31,1
3488.0,6,7.0,8.0,",9.75",,6.05,0
3488.0,5,14.0,19.75,,,0.0,0
3488.0,1,21.0,21.25,",21.25,23.5",,3.8000000000000003,0
3490.0,4,0.0,,",9.75",,5.03,0
3490.0,4,24.0,,",26.0",,3.5,0
3490.0,2,14.0,17.0,-1,,0.0,0
3490.0,1,21.0,,",26.0",,3.5,0
4077.0,8,0.0,0.5,",0.5,1.0",1.0,9.95,1
4077.0,2,7.0,,-1,,0.0,0
4077.0,6,14.0,14.25,",14.25,14.5,14.75,16.25",16.25,10.96,1
4077.0,7,17.0,17.75,17.25,17.25,4.51,1
4077.0,5,21.0,22.75,",21.0,22.75",22.75,12.57,1
3493.0,6,0.0,1.25,",0.0,2.75,7.25",7.25,10.520000000000001,1
3493.0,2,21.0,,-1,,0.0,0
3493.0,4,24.0,,",29.25",,7.44,0
3496.0,7,0.0,0.25,-1,,0.0,0
3496.0,1,7.0,7.5,",7.75",7.75,12.78,1
3496.0,5,14.0,14.0,",16.5",16.5,24.23,1
3496.0,2,21.0,22.5,22.25,22.25,16.15,1
3496.0,0,24.0,26.75,",24.25",24.25,18.98,1
3497.0,2,0.0,4.25,-1,,0.0,0
3497.0,3,14.0,,",16.5",16.5,5.93,1
3497.0,0,17.0,18.5,",18.5",18.5,10.16,1
3497.0,0,24.0,24.5,",26.75",26.75,12.12,1
3497.0,8,21.0,21.0,",21.0",21.0,8.77,1
3499.0,8,0.0,0.25,,,0.0,0
3499.0,1,7.0,7.0,,,0.0,0
3499.0,6,14.0,14.0,,,0.0,0
3499.0,0,17.0,17.25,,,0.0,0
3499.0,7,21.0,22.5,-1,,0.0,0
3499.0,7,24.0,24.5,24.5,24.5,20.16,1
3500.0,3,0.0,3.0,",3.25",3.25,9.26,1
3500.0,9,7.0,14.75,",13.25",,7.76,0
3500.0,9,24.0,25.25,",25.75,26.75",26.75,10.86,1
3500.0,0,21.0,,",22.5,25.75,26.75,27.0",,20.18,0
11861.0,7,0.0,1.5,0.5,0.5,3.04,1
11861.0,7,17.0,19.5,19.75,19.75,0.41000000000000003,1
11861.0,4,7.0,,",10.75,16.25",,11.77,0
11861.0,5,24.0,25.5,",24.5,26.5",,6.25,0
3503.0,9,0.0,3.75,",6.0,6.5",,3.58,0
3503.0,3,7.0,,",7.75,11.25",,2.42,0
3503.0,3,17.0,,",17.25",,2.88,0
3503.0,2,21.0,,-1,,0.0,0
3503.0,6,24.0,24.0,,,0.0,0
3507.0,3,0.0,,",1.75,4.5,6.25",,6.41,0
3507.0,4,7.0,,",14.75",,1.12,0
3507.0,4,17.0,,",19.5,23.75,24.25,26.75",,5.27,0
3507.0,8,14.0,,",14.75",,1.12,0
3507.0,8,24.0,24.5,",24.25,26.75,28.0",,2.46,0
3507.0,0,21.0,23.75,",23.75,24.25,26.75,28.0",,4.92,0
3508.0,5,0.0,0.0,",0.25",,0.66,0
3508.0,6,7.0,7.25,",7.25,12.0",,9.56,0
3509.0,5,0.0,2.25,",4.75,7.0",,3.21,0
3509.0,1,14.0,14.25,",17.75,18.5",,3.98,0
3509.0,6,17.0,20.75,",17.75,18.5,21.0,23.0",,5.0600000000000005,0
3509.0,2,24.0,,-1,,0.0,0
3511.0,6,0.0,0.0,",0.5,4.0,6.75",,7.69,0
3511.0,6,24.0,24.5,",29.75",,1.0,0
3511.0,9,7.0,,",11.5",,8.03,0
3511.0,1,17.0,19.5,",20.0",,5.78,0
3512.0,4,0.0,,",4.25",,10.83,0
3512.0,7,7.0,11.0,-1,,0.0,0
3512.0,6,14.0,,",17.0",17.0,16.55,1
3512.0,6,24.0,24.75,",25.0,28.5",28.5,27.82,1
3512.0,2,17.0,19.5,17.0,17.0,16.55,1
3515.0,3,0.0,,",1.0",1.0,6.8100000000000005,1
3515.0,9,7.0,13.5,",7.0,10.75,13.75",13.75,18.869999999999997,1
3515.0,2,14.0,,17.25,17.25,12.05,1
3515.0,4,21.0,,",23.75,24.5,27.5",,18.560000000000002,0
3517.0,9,0.0,,,,0.0,0
3517.0,9,14.0,,",18.25",18.25,33.48,1
3517.0,8,7.0,7.25,,,0.0,0
3517.0,3,17.0,,",18.25",18.25,33.48,1
3517.0,6,21.0,21.5,,,0.0,0
3518.0,3,0.0,1.25,",2.75",2.75,7.89,1
3518.0,3,17.0,18.25,",21.25",21.25,21.2,1
3518.0,6,14.0,14.0,",14.0",14.0,17.74,1
3518.0,7,24.0,26.25,-1,,0.0,0
3519.0,3,0.0,0.25,",1.25",1.25,23.49,1
3519.0,8,7.0,7.25,",9.0",9.0,21.3,1
4250.0,4,0.0,,",3.25,5.75,9.75",,11.82,0
4250.0,6,14.0,15.25,",15.25,16.5,16.75,21.5",,6.2299999999999995,0
4250.0,1,17.0,17.75,",21.5",,0.29,0
4250.0,9,21.0,24.25,",21.5,24.25,25.0",25.0,16.68,1
3524.0,2,0.0,0.0,0.0,0.0,1.06,1
3524.0,3,7.0,,",13.75",,1.54,0
3524.0,5,14.0,14.0,",16.5,21.0",,5.92,0
3524.0,4,17.0,,",21.0",,4.13,0
3524.0,7,24.0,25.5,-1,,0.0,0
3527.0,2,0.0,14.75,-1,,0.0,0
3527.0,4,17.0,,",25.0",25.0,31.41,1
3527.0,0,21.0,28.75,",25.0",25.0,31.41,1
3530.0,4,0.0,,,,0.0,0
3530.0,8,17.0,18.25,",20.0",,1.07,0
3530.0,9,24.0,,,,0.0,0
3531.0,0,0.0,,,,0.0,0
3531.0,4,14.0,,",19.75",,20.1,0
3531.0,4,17.0,,",19.75",19.75,20.1,1
3531.0,4,21.0,,,,0.0,0
3531.0,2,24.0,,-1,,0.0,0
3532.0,1,0.0,0.75,",1.5",1.5,14.47,1
3532.0,3,7.0,,,,0.0,0
3532.0,3,14.0,,",17.75",17.75,32.58,1
3532.0,8,21.0,23.5,",25.0",25.0,14.86,1
3533.0,3,0.0,0.75,",1.0",1.0,7.05,1
3533.0,4,7.0,12.5,",13.0,15.5",15.5,32.16,1
3533.0,5,14.0,14.0,",15.5",15.5,17.32,1
3533.0,8,17.0,17.25,",17.0",17.0,11.76,1
3534.0,9,0.0,,",7.0",,3.49,0
3534.0,0,7.0,7.5,",7.0,8.5,9.25",,13.489999999999998,0
3534.0,0,21.0,21.25,",24.75,25.25",,5.2299999999999995,0
3534.0,8,14.0,14.0,,,0.0,0
3535.0,9,0.0,2.5,",5.5",5.5,16.67,1
3535.0,8,7.0,8.5,",7.0",7.0,24.88,1
3535.0,0,14.0,,",16.75",16.75,17.04,1
3535.0,3,17.0,,",23.25",23.25,19.34,1
3535.0,1,21.0,21.5,",23.25",23.25,19.34,1
